Sentiment,Tweets
1,you dont have to be crazy to work here seriously its illegal to require that and i dont want hr on my ass
0,Paw pawing my ass off smh...im starting to feel better 
1,and ppl better not act like threatening suicide as a result of a breakup isnâ€™t abusive and that if pete did make that terrible mistake that itâ€™d be arianaâ€™s fault at all
0,@juliaroy you are just a tumbling fool. Love it. 
0,Just gonna go shopping up Fosse Park with mates  Got ï¿½75! Yeyyy!
1," â youâ€™re stuck with me now iâ€™m not leaving unless you give me a reason to and that would take a lot to make me leave âž 

he spoke pressing a light kiss against his neck"
1, i wake up and just want to sleep forever
0,@dotmariusz I'm a late bird  Mariusz - you from Poland? past noon here - still morning for me 
1,our friendly purge there is not a better way to die than by someone skipping towards you with a bat waiti think in my sleep would be better unless the girl skipping with a bat is theâ€¦ 
1,this what you a saying many thieves and looters have said it before no doubt no thief or looter will like buhari as it is no longer business as usual but one good thing is that the common man that buhari is working for have understand buhari and is ready to die for buhari 
0,@DHughesy You can actually swear you know lol. there's even somewhere that counts your swears.much fun...www.cursebird.com 
1,what is wrong with people remember when we used to use â€œhumanâ€ as a synonym for empathetic or moral we canâ€™t do that anymore if this is what it means to be human 
1,iâ€™m drowning in my tears 
1,pleaese to all my friends dont sent me money niko relapse life isnt easy on this other side ukiwaadddicted na hii stuff im near my end
0,"@JoeMcintyre Now you have to ask Danny and jordan, and all tweeters will be happy "
1," i live in ireland and while i have many irish friends who i dont want to see suffer im beginning to develop a sense of hopeful glee about the prospect of tax harmonisation

can the eu switch to qmv and remove vetoes on taxation without the need for referendums in ireland"
0,@brandon_wirtz how long and what degree of difficulty would it take for one to become top search result for &quot;china expert&quot;  heh.
0,@briandavidz - I actually want to go to disney. we'll see if i have time 
0,wants to find time for scrapbooking 
0,"Ah, Twitter seems to be working again "
0,Just audited an amazing acting class. So excited to start now! 
1, wht kind of people r they we dont choose our colors parents religion or even our country that we live in it why we want to hurt pain eachother this life doesnt need all of this fight at d end we will die and leave it forever so forgivness respecting eachother is d right choice
1,vamps yeah i just get nervous when i try to sleep i dont want to wake up in the ground again
1,i want this nightmare to end
1,my â€™s duck face selfies are too cringe lol i hate myself
1,good night and i know i hope i die in my sleep too
